iter	Passed	Remaining
783	2917	803
784	2921	800
785	2925	796
786	2929	792
787	2933	789
788	2936	785
789	2940	781
790	2944	777
791	2947	774
792	2951	770
793	2955	766
794	2958	763
795	2962	759
796	2966	755
797	2969	751
798	2973	748
799	2977	744
800	2981	740
801	2984	736
802	2988	733
803	2991	729
804	2995	725
805	2998	721
806	3002	718
807	3006	714
808	3009	710
809	3013	706
810	3017	703
811	3020	699
812	3024	695
813	3027	691
814	3031	688
815	3035	684
816	3039	680
817	3042	676
818	3046	673
819	3050	669
820	3053	665
821	3057	662
822	3060	658
823	3064	654
824	3068	650
825	3071	647
826	3075	643
827	3079	639
828	3082	635
829	3086	632
830	3090	628
831	3094	624
832	3098	621
833	3102	617
834	3105	613
835	3109	609
836	3112	606
837	3116	602
838	3120	598
839	3123	595
840	3127	591
841	3131	587
842	3134	583
843	3138	580
844	3141	576
845	3145	572
846	3149	568
847	3153	565
848	3156	561
849	3160	557
850	3163	553
851	3167	550
852	3171	546
853	3174	542
854	3178	539
855	3182	535
856	3185	531
857	3189	527
858	3193	524
859	3196	520
860	3200	516
861	3204	512
862	3207	509
863	3211	505
864	3215	501
865	3218	498
866	3222	494
867	3225	490
868	3230	486
869	3235	483
870	3239	479
871	3242	476
872	3246	472
873	3250	468
874	3253	464
875	3257	461
876	3261	457
877	3265	453
878	3269	450
879	3274	446
880	3279	442
881	3282	439
882	3286	435
883	3290	431
884	3293	428
885	3297	424
886	3301	420
887	3304	416
888	3308	413
889	3312	409
890	3315	405
891	3319	401
892	3323	398
893	3327	394
894	3330	390
895	3334	387
896	3338	383
897	3341	379
898	3345	375
899	3349	372
900	3353	368
901	3356	364
902	3360	360
903	3364	357
904	3367	353
905	3371	349
906	3375	346
907	3378	342
908	3382	338
909	3386	334
910	3389	331
911	3393	327
912	3397	323
913	3400	319
914	3404	316
915	3408	312
916	3411	308
917	3416	305
918	3420	301
919	3424	297
920	3427	294
921	3431	290
922	3435	286
923	3438	282
924	3442	279
925	3446	275
926	3449	271
927	3453	267
928	3457	264
929	3460	260
930	3464	256
931	3468	253
932	3471	249
933	3475	245
934	3478	241
935	3482	238
936	3486	234
937	3489	230
938	3493	226
939	3496	223
940	3500	219
941	3504	215
942	3507	212
943	3511	208
944	3514	204
945	3518	200
946	3522	197
947	3525	193
948	3529	189
949	3533	185
950	3537	182
951	3540	178
952	3544	174
953	3548	171
954	3551	167
955	3555	163
956	3559	159
957	3562	156
